"PORTO","PROGR","PROG_AUSENTE","ATRACACAO","MES","ANO","TARIFA_FREIRE","COD_TARIFA_AJUSTADO","DESC_TARIFA_AJUSTADA","FAMILIA","EMPRESA_PRINCIPAL","QTDE","VALOR","LOCAL_ATRACACAO","DATA_HORA_ATRACACAO","DATA_HORA_DESATRACACAO","DIF_ATRACACAO_HOURS","DIF_ATRACACAO_DIAS","SENTIDO","NAVEGACAO","EMPRESA_PAGADORA","NATUREZA_CARGA","COMPRIMENTO_EMBARCACAO","LARGURA_EMBARCACAO","TLR_EMBARCACAO","TWD_EMBARCACAO","CALADO_EMBARCACAO","CNPJ_EMPRESA_PRINCIPAL"
"ARATU","22054",0,0,"1","2023","I.2.2.5 - EMB.ATRAC. PIER GR.LÍQUIDOS - TGL NORTE","I.2.2.5","Embarc. Atrac.. Pier Granel Líquido - TGL Norte","I2 - ACOSTAGEM","ROCHAMAR AGENCIA MARITIMA S.A.",1,2145.42,"Píer TGL Norte",2023-01-07 17:55:01,2023-01-08 20:25:01,26.5,1.1,"Importação","Longo Curso","11256147000910 - ROCHAMAR AGENCIA MARITIMA S.A.","Normal",141,0,6115,19801,0,"11256147000910"
"ARATU","22054",0,0,"1","2023","I.2.2.5.1 - EMB.ATRAC. PIER GR.LÍQUIDOS - TGL NORTE (DOBRO)","I.2.2.5.1","Embarc. Atrac.. Pier Granel Líquido - TGL Norte (Dobro)","I2 - ACOSTAGEM","ROCHAMAR AGENCIA MARITIMA S.A.",10,794.6,"Píer TGL Norte",2023-01-07 17:55:01,2023-01-08 20:25:01,26.5,1.1,"Importação","Longo Curso","11256147000910 - ROCHAMAR AGENCIA MARITIMA S.A.","Normal",141,0,6115,19801,0,"11256147000910"
"ARATU","22054",0,0,"1","2023","I.3.1.5-vopak - CONTRATO VOPAK 016/1999 (L.C.)","I.3.1.5","Contrato Vopak 016/1999 (L.C.)","I3 - TERRESTRE","ROCHAMAR AGENCIA MARITIMA S.A.",2114.03,22176.17,"Píer TGL Norte",2023-01-07 17:55:01,2023-01-08 20:25:01,26.5,1.1,"Importação","Longo Curso","44167450000734 - VOPAK BRASIL S/A","Normal",141,0,6115,19801,0,"11256147000910"
"ARATU","22054",0,0,"1","2023","I.3.1.5-vopak - CONTRATO VOPAK 016/1999 (L.C.)","I.3.1.5","Contrato Vopak 016/1999 (L.C.)","I3 - TERRESTRE","ROCHAMAR AGENCIA MARITIMA S.A.",2398.867,25164.11,"Píer TGL Norte",2023-01-07 17:55:01,2023-01-08 20:25:01,26.5,1.1,"Importação","Longo Curso","44167450000734 - VOPAK BRASIL S/A","Normal",141,0,6115,19801,0,"11256147000910"
"ARATU","22061",0,0,"1","2023","I.1.1.3 - GRANEL LÍQUIDO/GASOSO (L.C.)","I.1.1.3","Granel Líquido/Gasoso (L.C.)","I1 - MARÍTIMA","BAHIA TANKERS AGENCIA MARITIMA LTDA",16487.407,65784.75,"Píer TPG",2023-01-07 10:25:00,2023-01-08 12:10:00,25.75,1.07,"Importação","Longo Curso","42150391000170 - BRASKEM S.A.","Normal",228.6,0,22401,73901,0,"07285820000116"
"ARATU","22061",0,0,"1","2023","I.2.2.6 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG","I.2.2.6","Embarc. Atrac. Píer  Produtos Gasosos - TPG","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",1,2788.76,"Píer TPG",2023-01-07 10:25:00,2023-01-08 12:10:00,25.75,1.07,"Importação","Longo Curso","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",228.6,0,22401,73901,0,"07285820000116"
"ARATU","22061",0,0,"1","2023","I.2.2.6.1 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG. (DOBRO)","I.2.2.6.1","Embarc. Atrac. Píer  Produtos Gasosos - TPG. (Dobro)","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",4,429.04,"Píer TPG",2023-01-07 10:25:00,2023-01-08 12:10:00,25.75,1.07,"Importação","Longo Curso","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",228.6,0,22401,73901,0,"07285820000116"
"ARATU","22061",0,0,"1","2023","I.3.1.5 - GRANEL LÍQUIDO - TGL E TPG PORTO ARATU (L.C.)","I.3.1.5","Granel Líquido - TGL E TPG Porto Aratu (L.C.)","I3 - TERRESTRE","BAHIA TANKERS AGENCIA MARITIMA LTDA",16487.407,72214.84,"Píer TPG",2023-01-07 10:25:00,2023-01-08 12:10:00,25.75,1.07,"Importação","Longo Curso","42150391000170 - BRASKEM S.A.","Normal",228.6,0,22401,73901,0,"07285820000116"
"ARATU","22064",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","BAHIA TANKERS AGENCIA MARITIMA LTDA",4864.228,19408.27,"Píer TPG",2023-01-08 13:35:00,2023-01-11 13:15:00,71.67,2.99,"Exportação","Cabotagem","42150391003439 - BRASKEM S/A..","Normal",123,0,2512,9212,0,"07285820000116"
"ARATU","22064",0,0,"1","2023","I.2.2.6 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG","I.2.2.6","Embarc. Atrac. Píer  Produtos Gasosos - TPG","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",1,7722.72,"Píer TPG",2023-01-08 13:35:00,2023-01-11 13:15:00,71.67,2.99,"Exportação","Cabotagem","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",123,0,2512,9212,0,"07285820000116"
"ARATU","22064",0,0,"1","2023","I.2.2.6.1 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG. (DOBRO)","I.2.2.6.1","Embarc. Atrac. Píer  Produtos Gasosos - TPG. (Dobro)","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",15,1608.9,"Píer TPG",2023-01-08 13:35:00,2023-01-11 13:15:00,71.67,2.99,"Exportação","Cabotagem","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",123,0,2512,9212,0,"07285820000116"
"ARATU","22064",0,0,"1","2023","I.3.1.5.3 - GRANEL GASOSO - TGL E TPG PORTO ARATU (CAB.)","I.3.1.5.3","Granel Gasoso - TGL E TPG Porto Aratu (CAB.)","I3 - TERRESTRE","BAHIA TANKERS AGENCIA MARITIMA LTDA",4864.228,21305.32,"Píer TPG",2023-01-08 13:35:00,2023-01-11 13:15:00,71.67,2.99,"Exportação","Cabotagem","42150391003439 - BRASKEM S/A..","Normal",123,0,2512,9212,0,"07285820000116"
"ARATU","22053",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA",31618.414,126157.47,"Píer TPG",2023-01-11 16:00:00,2023-01-13 03:15:00,35.25,1.47,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",183,0,13312,49999,0,"68014463000308"
"ARATU","22053",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA",39523.845,157700.14,"Píer TPG",2023-01-11 16:00:00,2023-01-13 03:15:00,35.25,1.47,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",183,0,13312,49999,0,"68014463000308"
"ARATU","22053",0,0,"1","2023","I.2.2.6 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG","I.2.2.6","Embarc. Atrac. Píer  Produtos Gasosos - TPG","I2 - ACOSTAGEM","CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA",1,3861.36,"Píer TPG",2023-01-11 16:00:00,2023-01-13 03:15:00,35.25,1.47,"Importação","Cabotagem","68014463000308 - CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA","Normal",183,0,13312,49999,0,"68014463000308"
"ARATU","22053",0,0,"1","2023","I.2.2.6.1 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG. (DOBRO)","I.2.2.6.1","Embarc. Atrac. Píer  Produtos Gasosos - TPG. (Dobro)","I2 - ACOSTAGEM","CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA",6,643.56,"Píer TPG",2023-01-11 16:00:00,2023-01-13 03:15:00,35.25,1.47,"Importação","Cabotagem","68014463000308 - CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA","Normal",183,0,13312,49999,0,"68014463000308"
"ARATU","22053",0,0,"1","2023","I.3.1.5.3 - GRANEL GASOSO - TGL E TPG PORTO ARATU (CAB.)","I.3.1.5.3","Granel Gasoso - TGL E TPG Porto Aratu (CAB.)","I3 - TERRESTRE","CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA",31618.414,138488.65,"Píer TPG",2023-01-11 16:00:00,2023-01-13 03:15:00,35.25,1.47,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",183,0,13312,49999,0,"68014463000308"
"ARATU","22053",0,0,"1","2023","I.3.1.5.3 - GRANEL GASOSO - TGL E TPG PORTO ARATU (CAB.)","I.3.1.5.3","Granel Gasoso - TGL E TPG Porto Aratu (CAB.)","I3 - TERRESTRE","CONE SUL AGÊNCIA DE NAVEGAÇÃO LTDA",39523.845,173114.44,"Píer TPG",2023-01-11 16:00:00,2023-01-13 03:15:00,35.25,1.47,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",183,0,13312,49999,0,"68014463000308"
"ARATU","22069",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","CIBRAFERTIL CIA.BRASIL.FERTILIZANTE",31500,125685,"Píer TGS II",2023-01-15 20:30:00,2023-01-27 02:10:00,269.67,11.24,"Importação","Longo Curso","00117842000128 - CIBRAFERTIL CIA.BRASIL.FERTILIZANTE","Normal",179.96,0,11200,34334,0,"00117842000128"
"ARATU","22047",0,0,"1","2023","I.1.1.3 - GRANEL LÍQUIDO/GASOSO (L.C.)","I.1.1.3","Granel Líquido/Gasoso (L.C.)","I1 - MARÍTIMA","ROCHAMAR AGENCIA MARITIMA S.A.",3994.381,15937.58,"Píer TGL Norte",2023-01-18 14:25:01,2023-01-19 16:00:01,25.58,1.07,"Importação","Longo Curso","64858525013980 - MONSANTO DO BRASIL LTDA","Normal",141,0,6115,19801.34,0,"11256147000910"
"ARATU","22047",0,0,"1","2023","I.2.2.5 - EMB.ATRAC. PIER GR.LÍQUIDOS - TGL NORTE","I.2.2.5","Embarc. Atrac.. Pier Granel Líquido - TGL Norte","I2 - ACOSTAGEM","ROCHAMAR AGENCIA MARITIMA S.A.",1,2065.96,"Píer TGL Norte",2023-01-18 14:25:01,2023-01-19 16:00:01,25.58,1.07,"Importação","Longo Curso","11256147000910 - ROCHAMAR AGENCIA MARITIMA S.A.","Normal",141,0,6115,19801.34,0,"11256147000910"
"ARATU","22047",0,0,"1","2023","I.2.2.5.1 - EMB.ATRAC. PIER GR.LÍQUIDOS - TGL NORTE (DOBRO)","I.2.2.5.1","Embarc. Atrac.. Pier Granel Líquido - TGL Norte (Dobro)","I2 - ACOSTAGEM","ROCHAMAR AGENCIA MARITIMA S.A.",9,715.14,"Píer TGL Norte",2023-01-18 14:25:01,2023-01-19 16:00:01,25.58,1.07,"Importação","Longo Curso","11256147000910 - ROCHAMAR AGENCIA MARITIMA S.A.","Normal",141,0,6115,19801.34,0,"11256147000910"
"ARATU","22047",0,0,"1","2023","I.3.1.5-vopak - CONTRATO VOPAK 016/1999 (L.C.)","I.3.1.5","Contrato Vopak 016/1999 (L.C.)","I3 - TERRESTRE","ROCHAMAR AGENCIA MARITIMA S.A.",2963.606,31088.23,"Píer TGL Norte",2023-01-18 14:25:01,2023-01-19 16:00:01,25.58,1.07,"Importação","Longo Curso","44167450000734 - VOPAK BRASIL S/A","Normal",141,0,6115,19801.34,0,"11256147000910"
"ARATU","22047",0,0,"1","2023","I.3.1.5-vopak2 - CONTRATO VOPAK 044/2002 (L.C.)","I.3.1.52","Contrato Vopak 044/2002 (L.C.)","I3 - TERRESTRE","ROCHAMAR AGENCIA MARITIMA S.A.",1030.775,8576.05,"Píer TGL Norte",2023-01-18 14:25:01,2023-01-19 16:00:01,25.58,1.07,"Importação","Longo Curso","44167450000734 - VOPAK BRASIL S/A","Normal",141,0,6115,19801.34,0,"11256147000910"
"ARATU","22080",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTILIZANTES TOCANTINS S.A",500,1995,"Píer TGS I Norte",2023-01-18 23:35:00,2023-01-20 00:05:00,24.5,1.02,"Importação","Longo Curso","22266175002989 - FERTILIZANTES HERINGER S.A","Normal",189.99,0,19353,58729,0,"05571228000406"
"ARATU","22080",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTILIZANTES TOCANTINS S.A",3500,13965,"Píer TGS I Norte",2023-01-18 23:35:00,2023-01-20 00:05:00,24.5,1.02,"Importação","Longo Curso","22266175004680 - FERTILIZANTES HERINGER S.A","Normal",189.99,0,19353,58729,0,"05571228000406"
"ARATU","22080",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTILIZANTES TOCANTINS S.A",5000,19950,"Píer TGS I Norte",2023-01-18 23:35:00,2023-01-20 00:05:00,24.5,1.02,"Importação","Longo Curso","05571228000406 - FERTILIZANTES TOCANTINS S.A","Normal",189.99,0,19353,58729,0,"05571228000406"
