,NUM_ITEM_CONTRATO,NUM_CONTRATO,NUM_TIP_COBRANC,POR_NUM_ITEM_CONTRATO,COD_ITEM_CONTRATO,VLR_ITEM_CONTRATO,ATTRIB,DTUPDATE,DCR_ITEM_CONTRATO_RESUMO,DCR_ITEM_CONTRATO,CODUSUARIO,INSTANCE,codUserUpdate,NUM_UND_MED,DAT_INICIO,DAT_FIM,DCR_MEMORIA_CALCULO,FLG_STATUS,COD_SERVICO_ERP,COD_EMPRESA_ERP,PRC_DESCONTO,DAT_COBRANCA_ATUAL,CodDominio
13,25.0,3.0,2.0,,24,,A,2022-10-05 09:50:07.000,I.1.6.2 - POR TONELADA DE PORTE BRUTO (DEADWEIGHT) DE EMBARC,"I.1.6.2 - POR TONELADA DE PORTE BRUTO (DEADWEIGHT) DE EMBARCAÇÃO SEM MOVIMENTAÇÃO DE MERCADORIA - COM ATRACAÇÃO NO TERMINAL DA GERDAU, FORD, DOW, MOINHO DIAS BRANCO E OUTROS",,,,3.0,,,QTD_MEDICAO,A,I.1.6.2,1,0.0,,
14,27.0,3.0,2.0,,26,,A,2022-10-05 09:51:47.000,I.1.6.4 - POR TONELADA DE PORTE BRUTO (DEADWEIGHT) DE EMBARC,I.1.6.4 - POR TONELADA DE PORTE BRUTO (DEADWEIGHT) DE EMBARCAÇÃO SEM MOVIMENTAÇÃO DE MERCADORIA - SEM ATRACAÇÃO NO PORTO ORGANIZADO,,,,3.0,,,QTD_MEDICAO,A,I.1.6.4,1,0.0,,
15,28.0,3.0,2.0,,76,,A,2022-11-17 09:31:51.000,"I.1.1.1.3 -POR TONELADA DE MERCADORIA CARREGADA, DESCARREGAD","I.1.1.1.3 - POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA OU BALDEADA - CARGA GERAL OU UNITIZADA CABOTAGEM-DEX 003/2016",,,73.0,3.0,,,QTD_MEDICAO,A,I.1.1.1.3,1,0.0,,
16,29.0,3.0,2.0,,77,,A,2022-11-17 09:31:30.000,"I.1.1.2.1-POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA","I.1.1.2.1 - POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA OU BALDEADA - GRANEL SÓLIDO (CAB)",,,,3.0,,,QTD_MEDICAO,A,I.1.1.2.1,1,0.0,,
17,30.0,3.0,2.0,,78,,A,2022-10-05 16:25:31.817,"I.1.2.1.1-POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO","I.1.2.1.1 - POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO - CONTÊINER CHEIO CABOTAGEM-DEX 024/2016",,,73.0,14.0,,,QTD_MEDICAO,A,I.1.2.1.1,1,0.0,,
18,31.0,3.0,2.0,,79,,A,2022-10-05 16:26:26.240,"I.1.2.2.1-POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO","I.1.2.2.1 - POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO - CONTÊINER VAZIO CABOTAGEM-DEX 024/2016",,,73.0,14.0,,,QTD_MEDICAO,A,I.1.2.2.1,1,0.0,,
19,32.0,3.0,2.0,,I.1.20,,A,2022-10-05 23:22:41.000,DIFERENÇA VALOR MÍNIMO MARÍTIMA,I.1.20 - DIFERENÇA VALOR MÍNIMO MARÍTIMA,,,,1.0,,,1,A,I.1.20,1,0.0,,
20,33.0,4.0,2.0,,27,,A,2022-11-17 09:44:51.000,I.3.1.1-POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA E,I.3.1.1 - POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA EMBARCAÇÃO - CARGA GERAL OU UNITIZADA (LC),,,73.0,3.0,,,QTD_MEDICAO,A,I.3.1.1,1,0.0,,
21,34.0,4.0,2.0,,28,,A,2022-11-17 09:45:44.000,I.3.1.2-POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA E,I.3.1.2 - POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA EMBARCAÇÃO - GRANEL LÍQUIDO EM SALVADOR (L.C),,,,3.0,,,QTD_MEDICAO,A,I.3.1.2,1,0.0,,
22,35.0,4.0,2.0,,29,,A,2022-11-17 09:46:21.000,I.3.1.3-POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA E,I.3.1.3 - POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA EMBARCAÇÃO - GRANEL SÓLIDO NO PORTO DE SALVADOR E NO TGS II DO PORTO DE ARATU-CANDEIAS,,,73.0,3.0,,,QTD_MEDICAO,A,I.3.1.3,1,0.0,,
23,36.0,4.0,2.0,,I.3.1.4,,A,2022-11-17 09:50:53.000,POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA,I.3.1.4 - POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA EMBARCAÇÃO - GRANEL SÓLIDO NO TGS I DO PORTO DE ARATU-CANDEIAS,,,73.0,3.0,,,QTD_MEDICAO,A,I.3.1.4,1,0.0,,
24,37.0,4.0,2.0,,I.3.1.5,,A,2022-11-17 09:51:04.000,GRANEL LÍQUIDO E PRODUTO GASOSO NO TGL E TPG DE ARATU,I.3.1.5  -GRANEL LÍQUIDO E PRODUTO GASOSO NO TGL E TPG DE ARATU,,,73.0,3.0,,,QTD_MEDICAO,A,I.3.1.5,1,0.0,,
25,38.0,4.0,2.0,,32,,A,2022-10-05 16:55:40.000,I.3.2.1-POR CONTÊINER MOVIMENTADO A PARTIR DA EMBARCAÇÃO - C,I.3.2.1 - POR CONTÊINER MOVIMENTADO A PARTIR DA EMBARCAÇÃO - CONTÊINER CHEIO (LC),,,,14.0,,,QTD_MEDICAO,A,I.3.2.1,1,0.0,,
26,39.0,4.0,2.0,,33,,A,2022-10-05 16:56:23.000,I.3.2.2-POR CONTÊINER MOVIMENTADO A PARTIR DA EMBARCAÇÃO - C,I.3.2.2 - POR CONTÊINER MOVIMENTADO A PARTIR DA EMBARCAÇÃO - CONTÊINER VAZIO (LC),,,,14.0,,,QTD_MEDICAO,A,I.3.2.2,1,0.0,,
27,40.0,4.0,2.0,,34,,A,2022-10-05 08:59:20.000,I.3.3 - VEÍCULO MOVIMENTADO PELO SISTEMA ROLL-ON ROLL-OFF,I.3.3 - VEÍCULO MOVIMENTADO PELO SISTEMA ROLL-ON ROLL-OFF,,,,1.0,,,QTD_MEDICAO,A,I.3.3,1,0.0,,
28,41.0,4.0,2.0,,35,,A,2022-10-05 08:51:24.000,"I.3.4-PASSAGEIRO EMBARCADO, DESEMBARCADO NO PORTO","I.3.4 - PASSAGEIRO EMBARCADO, DESEMBARCADO NO PORTO",,,,1.0,,,QTD_MEDICAO,A,I.3.4,1,0.0,,
29,42.0,4.0,2.0,,36,,A,2022-10-05 08:54:05.000,I.3.5-PASSAGEIRO EM TRÂNSITO NO PORTO,I.3.5 - PASSAGEIRO EM TRÂNSITO NO PORTO,,,,1.0,,,QTD_MEDICAO,A,I.3.5,1,0.0,,
30,43.0,4.0,2.0,,83,,A,2022-11-17 09:47:05.000,I.3.1.2.2-POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA,I.3.1.2.2 - POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA EMBARCAÇÃO - GRANEL LÍQUIDO EM SALVADOR (CAB),,,75.0,3.0,,,QTD_MEDICAO,A,I.3.1.2.2,1,0.0,,
31,49.0,4.0,2.0,,84,,A,2022-11-17 09:47:36.000,I.3.1.1.1-POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA,I.3.1.1.1 - POR TONELADA DE MERCADORIA MOVIMENTADA A PARTIR DA EMBARCAÇÃO - CARGA GERAL OU UNITIZADA (CAB),,,,3.0,,,QTD_MEDICAO,A,I.3.1.1.1,1,0.0,,
32,50.0,4.0,2.0,,85,,A,2023-05-11 10:22:58.237,I.3.1.1.1.1 - CARGA GERAL - TECON CONTRATO 12/2000 (LC),I.3.1.1.1.1 - CARGA GERAL - TECON CONTRATO 12/2000 (LC),,,858.0,3.0,,,QTD_MEDICAO,D,I.3.1.1.1.,1,0.0,,
33,51.0,4.0,2.0,,86,,A,2023-05-11 10:23:48.143,I.3.1.1.1.2 - CARGA GERAL - TECON CONTRATO 12/2000 (CAB),I.3.1.1.1.2 - CARGA GERAL - TECON CONTRATO 12/2000 (CAB),,,858.0,3.0,,,QTD_MEDICAO,D,I.3.1.1.1.,1,0.0,,
34,52.0,4.0,2.0,,90,,A,2023-05-11 10:24:42.313,I.3.2.2.1-CONTEINER - TECON CONTRATO 12/2000 (LC),I.3.2.2.1 - CONTEINER - TECON CONTRATO 12/2000 (LC),,,858.0,14.0,,,QTD_MEDICAO,D,I.3.2.2.1,1,0.0,,
35,53.0,4.0,2.0,,91,,A,2023-05-11 10:25:41.950,I.3.2.2.2-CONTEINER - TECON CONTRATO 12/2000 (CAB),I.3.2.2.2 - CONTEINER - TECON CONTRATO 12/2000 (CAB),,,858.0,14.0,,,QTD_MEDICAO,D,I.3.2.2.2,1,0.0,,
36,54.0,5.0,2.0,,II.2.1,,A,2022-10-05 23:25:29.000,"UTILIZAÇÃO DE GUINDASTE DO PORTO, POR TONELADA","II.2.1 - UTILIZAÇÃO DE GUINDASTE DO PORTO, POR TONELADA",,,,3.0,,,QTD_MEDICAO,A,II.2.1,1,0.0,,
37,55.0,5.0,2.0,,II.2.2,,A,2022-10-05 23:25:38.000,"PORTÊINER, POR UNIDADE DE CONTÊINER MOVIMENTADO","II.2.2 - PORTÊINER, POR UNIDADE DE CONTÊINER MOVIMENTADO",,,,14.0,,,QTD_MEDICAO,A,II.2.2,1,0.0,,
38,56.0,5.0,2.0,,39,,A,2022-11-17 21:33:29.000,"II.2.3.1-GUINDASTE DE PÓRTICO, POR HORA OU FRAÇÃO - CAPACIDA","II.2.3.1 - GUINDASTE DE PÓRTICO, POR HORA OU FRAÇÃO - CAPACIDADE ATÉ 5 TONELADAS",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.3.1,1,0.0,,
39,57.0,5.0,2.0,,40,,A,2022-11-17 21:33:44.000,"II.2.3.2-GUINDASTE DE PÓRTICO, POR HORA OU FRAÇÃO - CAPACIDA","II.2.3.2 - GUINDASTE DE PÓRTICO, POR HORA OU FRAÇÃO - CAPACIDADE ATÉ 10 TONELADAS",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.3.2,1,0.0,,
40,58.0,5.0,2.0,,41,,A,2022-11-17 21:33:54.000,"II.2.3.3-GUINDASTE DE PÓRTICO, POR HORA OU FRAÇÃO - CAPACIDA","II.2.3.3 - GUINDASTE DE PÓRTICO, POR HORA OU FRAÇÃO - CAPACIDADE SUPERIOR A 10 TONELADAS",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.3.3,1,0.0,,
41,59.0,5.0,2.0,,II.2.4.1,,A,2022-10-05 23:25:48.000,"GUINDASTE ESPECIAL, POR TONELADA - TIPO CANGURU","II.2.4.1 - GUINDASTE ESPECIAL, POR TONELADA - TIPO CANGURU",,,,3.0,,,QTD_MEDICAO,A,II.2.4.1,1,0.0,,
42,60.0,5.0,2.0,,II.2.5.1,,A,2022-10-05 23:26:01.000,"DESCARREGADOR OU CARREGADOR DE GRANÉIS SÓLIDOS, POR TONELADA","II.2.5.1 - DESCARREGADOR OU CARREGADOR DE GRANÉIS SÓLIDOS, POR TONELADA - EM LINHA DE EMBARQUE",,,,3.0,,,QTD_MEDICAO,A,II.2.5.1,1,0.0,,
43,61.0,5.0,2.0,,II.2.5.2,,A,2022-10-05 23:26:11.000,"DESCARREGADOR OU CARREGADOR DE GRANÉIS SÓLIDOS, POR TONELADA","II.2.5.2 - DESCARREGADOR OU CARREGADOR DE GRANÉIS SÓLIDOS, POR TONELADA - EM LINHA DE DESCARGA",,,,3.0,,,QTD_MEDICAO,A,II.2.5.2,1,0.0,,
44,62.0,5.0,2.0,,45,,A,2022-11-17 21:34:27.000,"II.2.6.1-EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - GRAB ATÉ","II.2.6.1 - EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - GRAB ATÉ 5M3",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.6.1,1,0.0,,
45,63.0,5.0,2.0,,46,,A,2022-11-17 21:34:41.000,"II.2.6.2-EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - GRAB SUP","II.2.6.2 - EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - GRAB SUPERIOR A 5M3",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.6.2,1,0.0,,
46,64.0,5.0,2.0,,47,,A,2022-11-17 21:34:54.000,"II.2.6.3-EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - PRANCHA","II.2.6.3 - EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - PRANCHA PARA PASSAGEIROS",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.6.3,1,0.0,,
47,65.0,5.0,2.0,,48,,A,2022-11-17 21:35:07.000,"II.2.6.4-EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - FLUTUANT","II.2.6.4 - EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - FLUTUANTE PARA NAVIOS",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.6.4,1,0.0,,
48,66.0,5.0,2.0,,49,,A,2022-11-17 21:36:02.000,"II.2.6.5-EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - MOEGA MÓ","II.2.6.5 - EQUIPAMENTO AUXILIAR, POR HORA OU FRAÇÃO - MOEGA MÓVEL PARA GRANÉIS SÓLIDOS ATÉ 20M3",,,,10.0,,,(QTD_MEDICAO*QTD_PRD_COBRANCA),A,II.2.6.5,1,0.0,,
49,67.0,6.0,2.0,,50,,A,2022-10-05 09:56:36.000,"II.3.1.1 - FORNECIMENTO DE ÁGUA, POR METRO CÚBICO - A EMBARC","II.3.1.1 - FORNECIMENTO DE ÁGUA, POR METRO CÚBICO - A EMBARCAÇÃO",,,,6.0,,,QTD_MEDICAO,A,II.3.1.1,1,0.0,,
50,68.0,6.0,2.0,,51,,A,2022-10-05 10:01:14.000,"II.3.1.2-FORNECIMENTO DE ÁGUA, POR METRO CÚBICO - A CONSUMID","II.3.1.2 - FORNECIMENTO DE ÁGUA, POR METRO CÚBICO - A CONSUMIDOR/USUÁRIO, INSTALADO NA ÁREA DO PORTO",,,,6.0,,,QTD_MEDICAO,A,II.3.1.2,1,0.0,,
51,69.0,6.0,2.0,,52,,A,2022-11-19 18:58:23.000,II.3.2.1-SUPRIMENTO DE ENERGIA ELÉTRICA ÀS EMBARCAÇÕES OU CO,"II.3.2.1 - SUPRIMENTO DE ENERGIA ELÉTRICA ÀS EMBARCAÇÕES OU CONSUMIDORES, POR LIGAÇÃO OU DESLIGAMENTO",,,,4.0,,,QTD_GERADA,A,II.3.2.1,1,0.0,,
52,70.0,6.0,2.0,,53,,A,2022-10-05 10:10:19.000,"II.3.3-PESAGEM DE MERCADORIA CARREGADA EM VEÍCULO, INCLUINDO","II.3.3 - PESAGEM DE MERCADORIA CARREGADA EM VEÍCULO, INCLUINDO A TARA, POR TONELADA",,,,3.0,,,QTD_MEDICAO,A,II.3.3,1,0.0,,
53,78.0,6.0,2.0,,61,,A,2022-10-05 10:11:56.000,"II.3.6-FORNECIMENTO DE CERTIDÃO, CERTIFICADO DE PESAGEM, EXP","II.3.6 - FORNECIMENTO DE CERTIDÃO, CERTIFICADO DE PESAGEM, EXPEDIENTE PARA TRANSFERÊNCIA DE MERCADORIA ENTRE NAVIOS, RELATÓRIO ESTATÍSTICO E DESEMPENHO OPERACIONAL, TARIFA PORTUÁRIA, POR UNIDADE",,,,1.0,,,QTD_MEDICAO,A,II.3.6,1,0.0,,
54,79.0,6.0,2.0,,II.3.7.1,,A,2022-10-05 23:44:43.000,"FORNECIMENTO DE CARTÃO EXTERNO, POR UNIDADE - CARTÃO ELETRÔN","II.3.7.1 - FORNECIMENTO DE CARTÃO EXTERNO, POR UNIDADE - CARTÃO ELETRÔNICO DE IDENTIFICAÇÃO PARA PESSOAS",,,,1.0,,,QTD_MEDICAO,A,II.3.7.1,1,0.0,,
55,80.0,6.0,2.0,,63,,A,2022-10-05 10:27:31.000,"II.3.7.2-FORNECIMENTO DE CARTÃO EXTERNO, POR UNIDADE - CARTÃ","II.3.7.2 - FORNECIMENTO DE CARTÃO EXTERNO, POR UNIDADE - CARTÃO DE TRÂNSITO PARA VEÍCULO",,,,1.0,,,QTD_MEDICAO,A,II.3.7.2,1,0.0,,
56,81.0,6.0,2.0,,64,,A,2022-11-17 23:09:17.000,II.3.8-PELO ESTACIONAMENTO DE CAMINHÃO/CARRETA VAZIA OU EQUI,"II.3.8 - PELO ESTACIONAMENTO DE CAMINHÃO/CARRETA VAZIA OU EQUIPAMENTOS, NO INTERIOR DO PORTO E FORA DAS ÁREAS ARRENDADAS - POR DIA OU FRAÇÃO DE DIA",,,73.0,1.0,,,(QTD_MEDICAO*QTD_DIAS_TOTAL),A,II.3.8,1,0.0,,
57,82.0,6.0,2.0,,66,,A,2022-10-05 10:17:58.000,II.3.9.2-PELA UTILIZAÇÃO DE ÁREAS DO PORTO PARA ATIVIDADES D,"II.3.9.2 - PELA UTILIZAÇÃO DE ÁREAS DO PORTO PARA ATIVIDADES DE APOIO À OPERAÇÃO DE NAVIOS - PELA OVAÇÃO DE CONTÊINERES DE EXPORTAÇÃO, INCLUINDO A PERMANÊNCIA POR 3 DIAS NO PÁTIO, POR CONTÊINER",,,,14.0,,,QTD_MEDICAO,A,II.3.9.2,1,0.0,,
58,83.0,6.0,2.0,,II.3.9.2.1,,A,2022-10-05 23:46:10.000,"PELOS DIAS SUBSEQUENTES, POR DIA, POR CONTÊINER","II.3.9.2.1 - PELOS DIAS SUBSEQUENTES, POR DIA, POR CONTÊINER",,,,1.0,,,QTD_MEDICAO,A,II.3.9.2.1,1,0.0,,
59,84.0,6.0,2.0,,74,,A,2022-10-05 10:21:03.000,II.3.9.11-UTILIZAÇÃO DE PLATAFORMA FITO-SANITÁRIA,II.3.9.11 - UTILIZAÇÃO DE PLATAFORMA FITO-SANITÁRIA,,,,14.0,,,QTD_MEDICAO,A,II.3.9.11,1,0.0,,
60,85.0,6.0,2.0,,80,,A,2022-11-17 23:13:29.000,II.3.9.10-PELA INSTALAÇÃO DE CONTEINER (20 TEUS) PARA ESCRIT,"II.3.9.10 - PELA INSTALAÇÃO DE CONTEINER (20 TEUS) PARA ESCRITÓRIO, DEPÓSITOS POR MÊS",,,,7.0,,,(QTD_MEDICAO*QTD_DIAS_TOTAL),A,II.3.9.10,1,0.0,,
61,86.0,6.0,2.0,,81,,A,2022-10-05 09:57:44.000,II.3.1.3 - RECUPERAÇÃO DESPESA CONSUMO DE ÁGUA,II.3.1.3 - RECUPERAÇÃO DESPESA CONSUMO DE ÁGUA,,,,1.0,,,QTD_MEDICAO,A,II.3.1.3,1,0.0,,
62,87.0,6.0,2.0,,89,,A,2022-11-19 19:41:26.000,II.3.9.25 - TAXA DE ADMINISTRAÇÃO DE REEMBOLSO ENERGIA,II.3.9.25 - TAXA DE ADMINISTRAÇÃO DE REEMBOLSO ENERGIA,,,73.0,1.0,,,(QTD_MA1_MEDICAO*0.3),A,II.3.9.25,1,0.0,,
63,88.0,6.0,2.0,,87,,A,2022-11-19 19:04:14.000,II.3.2.1 - SUPRIMENTO DE ENERGIA ELÉTRICA ÀS EMBARCAÇÕES OU,"II.3.2.1 - SUPRIMENTO DE ENERGIA ELÉTRICA ÀS EMBARCAÇÕES OU CONSUMIDORES, POR LIGAÇÃO OU DESLIGAMENTO",,,73.0,1.0,,,QTD_GERADA,A,II.3.2.1,1,0.0,,
64,89.0,6.0,2.0,,88,,A,2022-10-05 10:23:58.000,II.3.2.2-RECUPERAÇÃO DESPESA - CONSUMO ENERGIA ELÉTRICA,II.3.2.2 - RECUPERAÇÃO DESPESA - CONSUMO ENERGIA ELÉTRICA,,,,1.0,,,QTD_MEDICAO,A,II.3.2.2,1,0.0,,
65,90.0,6.0,2.0,,82,,A,2022-11-20 11:32:40.123,II.3.9.25-TAXA DE ADMINISTRAÇÃO DE REEMBOLSO AGUA,II.3.9.25 - TAXA DE ADMINISTRAÇÃO DE REEMBOLSO AGUA,,,73.0,1.0,,,QTD_MA1_MEDICAO,A,II.3.9.25,1,0.0,,
66,91.0,6.0,2.0,,92,,A,2022-10-17 16:35:01.750,II.3.2.2-RECUPERAÇÃO DESPESAS - CONSUMO ENERGIA ELÉTRICA,II.3.2.2 - RECUPERAÇÃO DESPESAS - CONSUMO ENERGIA ELÉTRICA,,,73.0,1.0,,,QTD_MEDICAO,A,II.3.2.2,1,0.0,,
67,92.0,6.0,2.0,,93,,A,2022-11-19 19:50:21.000,TAXA DE ADMINISTRAÇÃO DE REEMBOLSO,II.3.9.25 - TAXA DE ADMINISTRAÇÃO DE REEMBOLSO,,,73.0,1.0,,,QTD_MA1_MEDICAO,A,II.3.9.25,1,0.0,,
68,93.0,6.0,2.0,,94,,A,2022-05-31 10:45:11.000,RECUPERAÇÃO DESPESA CONSUMO DE ÁGUA,II.3.1.3 - RECUPERAÇÃO DESPESA CONSUMO DE ÁGUA,,,,6.0,,,QTD_MEDICAO,A,II.3.1.3,1,0.0,,
69,94.0,6.0,2.0,,95,,A,2022-11-19 19:58:11.727,TAXA DE ADMINISTRAÇÃO DE REEMBOLSO,II.3.9.25 - TAXA DE ADMINISTRAÇÃO DE REEMBOLSO,,,73.0,1.0,,,QTD_MA1_MEDICAO,A,II.3.9.25,1,0.0,,
